表格 1
taskId,Answer
line-graph-highlighting-1,B
line-graph-highlighting-2,A
line-graph-highlighting-3,C
line-graph-staging-1,D
line-graph-staging-2,D
line-graph-staging-3,A
line-graph-tracing-1,A
line-graph-tracing-2,C
line-graph-tracing-3,D
scatterplot-highlighting-1,D
scatterplot-highlighting-2,B
scatterplot-highlighting-3,D
scatterplot-staging-1,D
scatterplot-staging-2,C
scatterplot-staging-3,D
scatterplot-tracing-1,B
scatterplot-tracing-2,A
scatterplot-tracing-3,B
heatmap-highlighting-1,D
heatmap-highlighting-2,C
heatmap-highlighting-3,A
heatmap-staging-1,C
heatmap-staging-2,B
heatmap-staging-3,A
heatmap-tracing-1,D 
heatmap-tracing-2,A
heatmap-tracing-3,C
destination-map-highlighting-1,C
destination-map-highlighting-2,D
destination-map-highlighting-3,B
destination-map-staging-1,A
destination-map-staging-2,B
destination-map-staging-3,A
destination-map-tracing-1,B
destination-map-tracing-2,C
destination-map-tracing-3,B
sankey-diagram-highlighting-1,D
sankey-diagram-highlighting-2,C
sankey-diagram-highlighting-3,C
sankey-diagram-staging-1,C
sankey-diagram-staging-2,B
sankey-diagram-staging-3,C
sankey-diagram-tracing-1,A
sankey-diagram-tracing-2,B
sankey-diagram-tracing-3,B
network-diagram-highlighting-1,B
network-diagram-highlighting-2,D
network-diagram-highlighting-3,A
network-diagram-staging-1,D
network-diagram-staging-2,B
network-diagram-staging-3,A
network-diagram-tracing-1,A
network-diagram-tracing-2,A
network-diagram-tracing-3,A
circle-packing-highlighting-1,C
circle-packing-highlighting-2,A
circle-packing-highlighting-3,D
circle-packing-staging-1,D
circle-packing-staging-2,C
circle-packing-staging-3,B
treemap-highlighting-1,D
treemap-highlighting-2,C
treemap-highlighting-3,D
treemap-staging-1,C
treemap-staging-2,A
treemap-staging-3,C
sunburst-highlighting-1,C
sunburst-highlighting-2,D
sunburst-highlighting-3,C
sunburst-staging-1,A
sunburst-staging-2,B
sunburst-staging-3,A
