社会消费品零售总额及各产品类目销售额（2024年1-12月）,,,,,,,,,,,,,,,,
 月份 , 粮油食品(亿元) , 饮料(亿元) , 烟酒(亿元) , 服装鞋帽(亿元) , 化妆品(亿元) , 金银珠宝(亿元) , 日用品(亿元) , 体育娱乐用品(亿元) , 家用电器和音像器材(亿元) , 中西药品(亿元) , 文化办公用品(亿元) , 家具(亿元) , 通讯器材(亿元) , 石油及制品(亿元) , 汽车(亿元) , 建筑及装潢材料(亿元) 
------,----------------,------------,------------,----------------,--------------,----------------,--------------,---------------------,---------------------------,----------------,---------------------,------------,-------------------,------------,-------------------,
 2024-01 ,1690,237,462,1182,411,291,666,114,737,634,330,121,560,2092,4052,148
 2024-02 ,1690,237,462,1182,411,291,666,114,737,634,330,121,560,2092,4052,148
 2024-03 ,1690,237,462,1182,411,291,666,114,737,634,330,121,560,2092,4052,148
 2024-04 ,1521,230,407,1048,278,231,581,100,641,565,258,110,480,1949,3503,121
 2024-05 ,1615,256,422,1148,406,240,669,118,743,577,294,123,610,2009,3875,124
 2024-06 ,1833,298,503,1237,405,262,717,142,1064,626,414,148,820,2074,4367,151
 2024-07 ,1619,268,410,936,245,200,594,105,730,548,312,129,521,2035,3798,130
 2024-08 ,1696,267,449,994,319,257,639,104,718,557,362,129,540,2093,3943,129
 2024-09 ,2037,301,588,1169,329,264,669,109,841,557,441,142,663,2074,4539,143
 2024-10 ,1844,254,480,1347,468,264,692,136,993,583,438,152,835,1968,4452,150
 2024-11 ,1894,255,511,1480,434,268,758,148,1200,622,453,190,793,1853,4765,171
 2024-12 ,2185,263,632,1629,345,310,738,134,1133,695,450,194,743,2024,5663,186
