continent,sub_region,country,year,emissions
Asia,Central Asia,Kazakhstan,2013,20.129835
Asia,Central Asia,Kazakhstan,2023,16.721973
Asia,Central Asia,Kyrgyzstan,2013,3.2899604
Asia,Central Asia,Kyrgyzstan,2023,2.9513316
Asia,Central Asia,Tajikistan,2013,1.6080831
Asia,Central Asia,Tajikistan,2023,2.04069
Asia,Central Asia,Turkmenistan,2013,20.361876
Asia,Central Asia,Turkmenistan,2023,16.621178
Asia,Central Asia,Uzbekistan,2013,6.301664
Asia,Central Asia,Uzbekistan,2023,5.853957
Asia,Eastern Asia,China,2013,8.6848
Asia,Eastern Asia,China,2023,9.819389
Asia,Eastern Asia,Japan,2013,10.607585
Asia,Eastern Asia,Japan,2023,8.294703
Asia,Eastern Asia,Mongolia,2013,27.593348
Asia,Eastern Asia,Mongolia,2023,27.010798
Asia,South-eastern Asia,Cambodia,2013,4.929661
Asia,South-eastern Asia,Cambodia,2023,4.763503
Asia,South-eastern Asia,Indonesia,2013,7.048932
Asia,South-eastern Asia,Indonesia,2023,6.834751
Asia,South-eastern Asia,Malaysia,2013,15.6847
Asia,South-eastern Asia,Malaysia,2023,11.832582
Asia,South-eastern Asia,Myanmar,2013,4.5315666
Asia,South-eastern Asia,Myanmar,2023,3.7941139
Asia,South-eastern Asia,Philippines,2013,2.4434698
Asia,South-eastern Asia,Philippines,2023,2.475422
Asia,South-eastern Asia,Singapore,2013,9.982303
Asia,South-eastern Asia,Singapore,2023,9.839174
Asia,South-eastern Asia,Thailand,2013,6.7031217
Asia,South-eastern Asia,Thailand,2023,5.813638
Asia,Southern Asia,Afghanistan,2013,1.0426389
Asia,Southern Asia,Afghanistan,2023,0.9668725
Asia,Southern Asia,Bangladesh,2013,1.260131
Asia,Southern Asia,Bangladesh,2023,1.5374016
Asia,Southern Asia,Bhutan,2013,9.856559
Asia,Southern Asia,Bhutan,2023,6.3624034
Asia,Southern Asia,India,2013,2.4210105
Asia,Southern Asia,India,2023,2.9181125
Asia,Southern Asia,Maldives,2013,3.195712
Asia,Southern Asia,Maldives,2023,4.3927684
Asia,Southern Asia,Nepal,2013,1.7057701
Asia,Southern Asia,Nepal,2023,2.0587952
Asia,Southern Asia,Pakistan,2013,1.8970537
Asia,Southern Asia,Pakistan,2023,2.108759
Asia,Southern Asia,Sri Lanka,2013,1.8663784
Asia,Southern Asia,Sri Lanka,2023,1.792095
Asia,Western Asia,Armenia,2013,3.0444906
Asia,Western Asia,Armenia,2023,3.5969958
Asia,Western Asia,Azerbaijan,2013,5.975629
Asia,Western Asia,Azerbaijan,2023,7.474677
