学生1,学生2
35,47
21,84
41,10
13,47
86,89
41,10
13,47
86,89
41,10
41,10
41,10
41,10
21,84
41,10
41,13
13,5
13,10
115,42
41,13
13,38
46,41
96,86
60,13
46,38
13,38
96,86
91,96
46,13
13,38
91,96
84,47
91,96
34,5
18,13
41,10
84,47
91,96
18,13
41,10
38,42
91,96
60,13
13,73
116,72
91,96
8,47
60,13
86,65
60,73
8,116
72,47
116,47
8,72
42,22
41,10
65,72
60,13
41,10
96,86
91,96
86,65
42,22
85,22
41,10
96,86
86,65
73,47
85,22
41,10
86,65
52,13
85,22
41,10
86,65
102,41
52,13
85,22
41,10
96,86
91,96
86,65
102,41
52,13
85,22
41,10
96,86
91,96
86,65
102,41
102,10
52,13
85,22
41,10
96,86
91,96
86,65
102,41
102,10
52,13
85,22
41,10
122,73
96,86
91,96
86,65
102,41
102,10
52,13
85,22
41,10
122,73
96,86
91,96
102,41
122,89
85,22
41,10
122,73
96,86
122,89
91,86
85,22
41,10
91,96
60,13
102,41
122,89
85,22
41,10
122,73
96,86
91,96
102,41
85,22
41,10
96,86
102,41
122,89
85,22
41,10
122,73
96,86
91,96
85,22
41,10
96,86
91,96
85,22
41,10
96,86
91,96
85,22
41,10
96,86
91,96
85,22
41,10
122,73
91,96
85,22
41,10
122,73
91,96
85,22
91,96
122,89
73,74
85,22
41,10
96,86
91,96
73,74
85,22
41,10
96,86
91,96
122,89
73,74
85,22
41,10
96,86
91,96
9,19
73,74
85,22
41,10
91,96
9,19
122,89
73,74
85,22
41,10
91,96
122,89
85,22
41,10
96,86
91,96
122,89
85,22
41,10
122,73
96,86
91,96
122,89
85,22
41,10
122,73
96,86
91,96
9,19
122,89
85,22
41,10
122,73
96,86
91,96
41,10
96,86
91,96
9,19
86,65
85,22
41,10
91,96
9,19
86,65
85,22
41,10
122,73
96,86
91,96
9,19
86,65
85,22
41,10
122,73
91,96
9,19
86,65
9,122
85,22
41,10
122,73
96,86
91,96
9,19
85,22
41,10
122,73
96,86
91,96
9,19
122,89
85,22
41,10
122,73
96,86
91,96
9,19
41,10
122,73
96,86
91,96
9,19
85,22
41,10
122,73
96,86
91,96
86,22
122,73
96,86
85,22
41,10
122,73
85,22
41,10
122,73
96,86
102,41
85,22
41,10
122,73
73,74
85,22
41,10
96,86
91,96
9,19
102,41
85,22
41,10
96,86
9,19
52,13
85,22
41,10
9,19
102,41
73,74
85,22
41,10
9,19
73,74
85,22
60,5
41,10
9,19
52,13
85,22
41,10
91,96
9,19
52,13
85,22
41,10
9,19
85,22
41,10
9,19
85,22
41,10
9,19
52,13
85,22
41,10
9,19
102,41
85,22
41,10
52,42
85,22
41,10
9,19
52,42
85,22
41,10
9,19
85,22
41,10
9,19
85,22
41,10
9,19
85,22
41,10
9,19
85,22
41,10
9,19
85,22
41,10
9,19
85,22
41,10
91,96
9,19
52,13
85,22
41,10
122,73
9,19
85,22
41,10
122,73
85,22
41,10
122,73
85,22
41,10
122,73
52,13
85,22
41,10
122,73
102,41
85,22
41,10
9,19
52,13
85,22
41,10
122,73
9,19
102,41
85,22
41,10
122,73
9,19
85,22
41,10
122,73
9,19
85,22
41,10
122,73
9,19
85,22
41,10
96,86
85,22
41,10
122,73
85,22
41,10
122,73
52,13
85,22
41,10
122,73
122,89
85,22
41,10
122,73
122,89
85,22
41,10
122,73
122,89
85,22
41,10
122,73
85,22
41,10
122,73
85,22
41,10
122,73
122,89
85,22
41,10
122,73
85,22
41,10
122,73
85,22
41,10
122,73
85,22
41,10
122,73
85,22
41,10
122,73
85,22
41,10
122,73
85,22
41,10
122,73
85,22
41,10
122,73
85,22
41,10
122,73
85,22
41,10
122,73
73,74
85,22
41,10
122,73
85,22
41,10
122,73
85,22
41,10
85,22
41,10
85,22
41,10
85,22
41,10
85,22
41,10
85,22
41,10
73,74
85,22
41,10
73,74
85,22
41,10
73,74
85,22
41,10
85,22
41,10
96,22
85,22
41,10
96,22
85,22
41,10
85,22
41,10
85,22
41,10
85,22
41,10
85,22
41,10
85,22
41,10
122,73
52,42
85,22
41,10
122,73
52,42
85,22
41,10
122,73
85,22
41,10
122,73
85,22
41,10
122,73
85,22
41,10
122,73
85,22
41,10
122,73
85,22
41,10
122,73
85,22
41,10
122,73
85,22
41,10
122,73
85,22
41,10
122,73
85,22
41,10
122,73
85,22
41,10
122,73
85,22
41,10
122,73
85,22
41,10
122,73
85,22
41,10
122,73
85,22
41,10
122,73
85,22
41,10
122,73
85,22
41,10
122,73
85,22
41,10
122,73
52,42
122,89
85,22
41,10
122,73
52,42
85,22
41,10
122,73
52,42
122,89
85,22
41,10
122,73
52,42
122,89
85,22
41,10
122,73
85,22
41,10
122,73
122,89
85,22
41,10
41,10
85,22
41,10
85,22
41,10
122,73
52,42
85,22
41,10
122,73
85,22
41,10
85,22
41,10
122,73
85,22
41,10
85,22
41,10
85,22
41,10
85,22
41,10
85,22
41,10
85,22
41,10
85,22
41,10
41,10
85,22
41,10
85,22
41,10
85,22
41,10
85,22
41,10
122,89
85,22
41,10
41,10
85,22
41,10
52,42
122,89
85,22
41,10
122,73
52,42
122,89
85,22
41,10
122,73
52,42
122,89
85,22
41,10
52,42
122,89
85,22
41,10
52,42
85,22
41,10
122,89
85,22
41,10
52,42
122,89
73,74
85,22
41,10
85,22
41,10
52,13
85,22
41,10
85,22
41,10
96,86
85,22
41,10
85,22
41,10
85,22
41,10
85,22
41,10
85,22
41,10
85,22
41,10
85,22
41,10
96,86
85,22
41,10
122,73
96,86
85,22
41,10
122,73
96,86
85,22
41,10
122,73
85,22
41,10
9,19
85,22
41,10
85,22
41,10
85,22
41,10
85,22
41,10
85,22
41,10
85,22
41,10
85,22
41,10
122,73
96,86
85,22
41,10
122,73
85,22
41,10
122,73
85,22
41,10
122,73
85,22
41,10
122,73
85,22
41,10
122,73
85,22
41,10
122,73
85,22
41,10
122,73
85,22
41,10
85,22
41,10
96,86
85,22
41,10
85,22
41,10
85,22
41,10
85,22
41,10
73,74
85,22
41,10
73,74
85,22
41,10
85,22
41,10
85,22
41,10
85,22
41,10
9,19
41,10
85,22
41,10
85,22
41,10
85,22
41,10
9,19
85,22
41,10
9,19
85,22
41,10
9,19
41,10
9,19
85,22
41,10
9,19
85,22
41,10
85,22
41,10
96,86
85,22
41,10
73,74
85,22
41,10
85,22
41,10
85,22
41,10
122,73
85,22
41,10
73,74
85,22
41,10
85,22
41,10
85,22
41,10
85,22
41,10
85,22
41,10
85,22
41,10
41,10
73,74
85,22
41,10
85,22
41,10
122,73
41,10
122,89
85,22
41,10
85,22
41,10
122,89
85,22
41,10
85,22
41,10
85,22
41,10
102,41
85,22
41,10
85,22
41,10
102,41
85,22
41,10
122,73
85,22
122,73
122,89
89,73
85,22
41,10
122,73
102,41
122,89
85,22
41,10
122,73
102,41
122,89
85,22
41,10
122,73
102,41
122,89
73,74
85,22
41,10
122,73
73,74
85,22
41,10
102,41
122,89
85,22
41,10
122,73
102,41
85,22
41,10
122,73
85,22
41,10
122,73
102,41
73,74
85,22
41,10
102,41
85,22
41,10
102,41
85,22
102,41
85,22
102,41
85,22
85,22
41,10
102,41
85,22
102,41
85,22
41,10
102,41
85,22
102,41
85,22
102,41
41,10
102,41
73,74
102,41
41,10
102,41
46,116
102,41
41,10
102,41
41,10
102,41
41,10
46,38
102,41
102,41
41,10
85,42
102,41
41,10
85,42
102,41
41,10
38,42
85,42
102,41
102,41
41,10
102,41
41,10
102,41
102,41
41,10
102,41
41,10
102,41
41,10
102,41
41,10
41,10
102,41
41,10
102,41
41,10
102,41
102,41
41,10
102,41
41,10
102,41
41,10
102,41
41,10
85,42
102,41
41,10
85,42
102,41
41,10
85,42
102,41
41,10
102,41
41,10
102,41
41,10
102,41
41,10
102,41
41,10
102,41
102,41
41,10
9,19
102,41
122,89
41,10
9,19
102,41
9,19
102,41
73,74
9,19
102,41
73,74
41,10
9,19
102,41
73,74
41,10
102,41
73,74
41,10
9,19
102,41
73,74
41,10
102,41
73,74
41,10
102,41
73,74
41,10
102,41
73,74
41,10
122,73
9,19
102,41
73,74
41,10
122,73
9,19
102,41
41,10
9,19
102,41
41,10
102,41
41,10
9,19
102,41
41,10
9,19
102,41
41,10
102,41
102,41
102,41
102,41
102,41
102,41
41,10
102,41
41,10
102,41
41,10
102,41
41,10
102,41
102,41
102,41
38,42
102,41
41,10
102,41
41,10
102,41
41,10
102,41
41,10
102,41
