source,target,weight,type,group
5,20,495,intra-community,0
6,7,11,intra-community,1
6,9,8,intra-community,1
7,9,17,intra-community,1
8,84,111,intra-community,2
8,97,3,intra-community,2
8,116,200,intra-community,2
9,19,218,intra-community,1
10,41,976,intra-community,8
10,102,3,intra-community,8
13,18,4,intra-community,3
13,35,1,intra-community,3
13,52,177,intra-community,3
13,60,43,intra-community,3
13,114,1,intra-community,3
13,115,27,intra-community,3
14,39,2,intra-community,4
14,53,266,intra-community,4
18,34,2,intra-community,3
18,35,25,intra-community,3
18,52,181,intra-community,3
18,115,3,intra-community,3
21,39,18,intra-community,4
21,47,1,intra-community,4
22,38,2,intra-community,6
22,42,12,intra-community,6
22,85,622,intra-community,6
22,117,71,intra-community,6
34,35,3,intra-community,3
34,52,3,intra-community,3
34,60,3,intra-community,3
34,61,1,intra-community,3
34,114,174,intra-community,3
34,115,3,intra-community,3
35,52,22,intra-community,3
35,115,6,intra-community,3
38,42,96,intra-community,6
38,85,1,intra-community,6
39,46,414,intra-community,4
39,47,4,intra-community,4
39,53,68,intra-community,4
41,102,163,intra-community,8
42,85,695,intra-community,6
42,117,1,intra-community,6
46,47,1,intra-community,4
46,53,4,intra-community,4
52,60,3,intra-community,3
52,115,7,intra-community,3
60,61,32,intra-community,3
60,114,56,intra-community,3
60,115,15,intra-community,3
61,114,2,intra-community,3
61,115,52,intra-community,3
65,72,77,intra-community,7
65,86,57,intra-community,7
65,91,3,intra-community,7
65,96,3,intra-community,7
72,86,1,intra-community,7
73,74,86,intra-community,5
73,89,4,intra-community,5
73,122,212,intra-community,5
74,89,21,intra-community,5
74,122,1,intra-community,5
85,117,1,intra-community,6
86,91,20,intra-community,7
86,96,44,intra-community,7
89,122,35,intra-community,5
91,96,87,intra-community,7
114,115,9,intra-community,3
5,proxy_0,4,routing,0
6,proxy_1,4,routing,1
5,proxy_0,2,routing,0
8,proxy_2,2,routing,2
5,proxy_0,10,routing,0
9,proxy_1,10,routing,1
5,proxy_0,9,routing,0
13,proxy_3,9,routing,3
5,proxy_0,2,routing,0
14,proxy_4,2,routing,4
5,proxy_0,5,routing,0
18,proxy_3,5,routing,3
5,proxy_0,3,routing,0
21,proxy_4,3,routing,4
5,proxy_0,4,routing,0
22,proxy_6,4,routing,6
5,proxy_0,2,routing,0
34,proxy_3,2,routing,3
5,proxy_0,2,routing,0
35,proxy_3,2,routing,3
5,proxy_0,3,routing,0
38,proxy_6,3,routing,6
5,proxy_0,5,routing,0
39,proxy_4,5,routing,4
5,proxy_0,95,routing,0
41,proxy_8,95,routing,8
5,proxy_0,2,routing,0
42,proxy_6,2,routing,6
5,proxy_0,2,routing,0
47,proxy_4,2,routing,4
5,proxy_0,6,routing,0
52,proxy_3,6,routing,3
5,proxy_0,4,routing,0
53,proxy_4,4,routing,4
5,proxy_0,12,routing,0
60,proxy_3,12,routing,3
5,proxy_0,1,routing,0
61,proxy_3,1,routing,3
5,proxy_0,3,routing,0
65,proxy_7,3,routing,7
5,proxy_0,4,routing,0
72,proxy_7,4,routing,7
5,proxy_0,4,routing,0
73,proxy_5,4,routing,5
5,proxy_0,5,routing,0
74,proxy_5,5,routing,5
5,proxy_0,3,routing,0
84,proxy_2,3,routing,2
